What is your age?,What is your favorite coffee drink?,What kind of dairy do you add?,What kind of sugar or sweetener do you add?,"Before today's tasting, which of the following best described what kind of coffee you like?",How strong do you like your coffee?,What roast level of coffee do you prefer?,How much caffeine do you like in your coffee?,Gender,Gender (please specify),Education Level,Ethnicity/Race,Ethnicity/Race (please specify),Employment Status,Number of Children,Political Affiliation
25-34 years old,Cortado,,,Fruity,Somewhat strong,Nordic,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,None,Democrat
35-44 years old,Cortado,Whole milk,,Chocolatey,Somewhat strong,Medium,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Pourover,,,Bright,Medium,Medium,Full caffeine,,,,,,,,
35-44 years old,Cold brew,,,Chocolatey,Somewhat strong,Dark,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
35-44 years old,Pourover,,,Fruity,Medium,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
45-54 years old,Other,,,Fruity,Somewhat strong,Light,Full caffeine,,,,,,,,
25-34 years old,Pourover,,,Floral,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Student,None,No affiliation
45-54 years old,Pourover,,,Fruity,Medium,Light,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,None,No affiliation
25-34 years old,Latte,"Whole milk, Oat milk, Flavored coffee creamer",Granulated Sugar,Chocolatey,Medium,Dark,Full caffeine,,,,,,,,
25-34 years old,Cortado,Oat milk,,Floral,Medium,Light,Full caffeine,Male,,,,,,,
25-34 years old,Pourover,,,Floral,Somewhat strong,Light,Full caffeine,Female,,Some college or associate's degree,White/Caucasian,,Unemployed,None,No affiliation
25-34 years old,Cappuccino,"Oat milk, Almond milk",,Nutty,Somewhat strong,Medium,Full caffeine,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,None,Democrat
18-24 years old,Espresso,,,Sweet,Medium,Light,Full caffeine,,,,,,,,
55-64 years old,Latte,Half and half,Granulated Sugar,Bold,Somewhat strong,Dark,Full caffeine,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,3,No affiliation
35-44 years old,Pourover,,,Fruity,Very strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,More than 3,Republican
55-64 years old,Regular drip coffee,Half and half,Granulated Sugar,Nutty,Medium,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,2,
35-44 years old,Pourover,,,Caramalized,Medium,Medium,Full caffeine,Non-binary,,Bachelor's degree,White/Caucasian,,Employed part-time,None,Democrat
25-34 years old,Other,Whole milk,"Raw Sugar (Turbinado), Brown Sugar",Bright,Somewhat light,Light,Full caffeine,Male,,Master's degree,Asian/Pacific Islander,,Employed full-time,None,Democrat
>65 years old,Espresso,,,Chocolatey,Somewhat strong,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Retired,None,No affiliation
25-34 years old,Espresso,,,Full Bodied,Very strong,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Republican
35-44 years old,Espresso,,,Fruity,Somewhat strong,Medium,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,2,Independent
25-34 years old,Cappuccino,Coffee creamer,Granulated Sugar,Bright,Medium,Light,Full caffeine,Female,,Master's degree,White/Caucasian,,Employed part-time,None,Democrat
25-34 years old,Pourover,,,Fruity,Medium,Light,Full caffeine,Male,,Doctorate or professional degree,White/Caucasian,,Unemployed,None,Democrat
35-44 years old,Pourover,,,Sweet,Somewhat strong,Light,Decaf,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,No affiliation
45-54 years old,Espresso,,,Fruity,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,1,Democrat
35-44 years old,Latte,"Oat milk, Soy milk",,Floral,Somewhat light,Medium,Decaf,Female,,Bachelor's degree,Asian/Pacific Islander,,Employed part-time,None,No affiliation
35-44 years old,Iced coffee,"Whole milk, Half and half, Coffee creamer",,Nutty,Somewhat strong,Dark,Decaf,Female,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,None,Democrat
18-24 years old,Mocha,Oat milk,,Chocolatey,Somewhat strong,Medium,Full caffeine,,,,,,,,
45-54 years old,Mocha,"Whole milk, Skim milk, Almond milk",,Caramalized,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,No affiliation
25-34 years old,Cortado,,,Fruity,Very strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Independent
35-44 years old,Latte,Whole milk,,Full Bodied,Somewhat strong,Dark,Full caffeine,Female,,Bachelor's degree,Other (please specify),White Latina,Employed full-time,None,Democrat
25-34 years old,Regular drip coffee,,,Chocolatey,Somewhat strong,Dark,Full caffeine,Female,,Master's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Latte,Oat milk,,Sweet,Medium,Dark,Full caffeine,Female,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,None,No affiliation
35-44 years old,Latte,Half and half,Agave Nectar,Bright,Medium,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Unemployed,None,No affiliation
55-64 years old,Pourover,,Granulated Sugar,Full Bodied,Medium,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,1,Democrat
35-44 years old,Regular drip coffee,"Oat milk, Soy milk, Coffee creamer",,Nutty,Medium,Light,Full caffeine,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Independent
25-34 years old,Americano,,,Chocolatey,Somewhat strong,Dark,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
18-24 years old,Regular drip coffee,,,Chocolatey,Medium,Medium,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Employed part-time,None,Independent
25-34 years old,Pourover,,,Chocolatey,Somewhat strong,Medium,Full caffeine,Male,,Master's degree,White/Caucasian,,Homemaker,None,Democrat
35-44 years old,Pourover,,,Juicy,Medium,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
35-44 years old,Pourover,,,Juicy,,Light,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,None,Democrat
35-44 years old,Pourover,,,Sweet,Somewhat light,Nordic,Full caffeine,Female,,Master's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Pourover,,,Bright,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
35-44 years old,Pourover,Whole milk,Raw Sugar (Turbinado),Chocolatey,Medium,Medium,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,2,Independent
25-34 years old,Latte,,,Nutty,Somewhat strong,Medium,Half caff,Female,,Doctorate or professional degree,White/Caucasian,,Unemployed,None,No affiliation
25-34 years old,Cappuccino,Whole milk,,Nutty,Medium,Medium,Full caffeine,Female,,Doctorate or professional degree,White/Caucasian,,Employed full-time,None,Democrat
18-24 years old,Iced coffee,Whole milk,"Artificial Sweeteners (e.g., Splenda), Stevia",Full Bodied,Somewhat strong,Dark,Full caffeine,Male,,Bachelor's degree,Other (please specify),"white, asian",Employed full-time,None,No affiliation
25-34 years old,Cortado,Whole milk,,Full Bodied,Somewhat strong,Medium,Full caffeine,,,,,,,,
55-64 years old,Americano,,,Bold,Very strong,Dark,Full caffeine,,,,,,,,
45-54 years old,Cappuccino,"Almond milk, Oat milk","Artificial Sweeteners (e.g., Splenda)",Full Bodied,Very strong,Dark,Full caffeine,Female,,Bachelor's degree,Other (please specify),"White, Black, Native American",Homemaker,More than 3,Democrat
35-44 years old,Pourover,,,Fruity,Somewhat strong,Light,Full caffeine,Male,,Master's degree,Asian/Pacific Islander,,Employed full-time,2,Independent
25-34 years old,Cortado,,,Full Bodied,Medium,Medium,Full caffeine,Male,,Bachelor's degree,Hispanic/Latino,,Employed full-time,None,Democrat
25-34 years old,Pourover,,,Floral,Somewhat strong,Light,Full caffeine,,,,,,,,
35-44 years old,Americano,Half and half,,Chocolatey,Very strong,Medium,Full caffeine,Male,,Some college or associate's degree,Black/African American,,Employed full-time,None,Democrat
25-34 years old,Regular drip coffee,,,Juicy,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,1,Republican
>65 years old,Espresso,"Half and half, Whole milk",,Full Bodied,Somewhat strong,Medium,Full caffeine,,,,,,,,
45-54 years old,Cappuccino,,,Fruity,Somewhat strong,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
18-24 years old,Cortado,Half and half,Honey,Nutty,Somewhat strong,Dark,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Employed part-time,None,Democrat
35-44 years old,Espresso,,,Fruity,Somewhat strong,Nordic,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Independent
25-34 years old,Latte,"Whole milk, Skim milk",,Chocolatey,Somewhat strong,Dark,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Espresso,,,Full Bodied,Somewhat strong,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Pourover,,,Juicy,Somewhat strong,Light,Full caffeine,Male,,,White/Caucasian,,Employed full-time,,
25-34 years old,Americano,,,Chocolatey,Somewhat strong,Medium,Full caffeine,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,None,
35-44 years old,Mocha,,,Chocolatey,Somewhat strong,Dark,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,None,No affiliation
25-34 years old,Pourover,,,Fruity,Medium,Medium,Half caff,Male,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,None,Democrat
25-34 years old,Other,,,Sweet,Medium,Medium,Full caffeine,Female,,Some college or associate's degree,White/Caucasian,,Employed part-time,None,Democrat
18-24 years old,Cappuccino,,,Sweet,Somewhat strong,Light,Full caffeine,Male,,High school graduate,Hispanic/Latino,,Employed part-time,None,No affiliation
35-44 years old,Latte,Whole milk,,Caramalized,Medium,Medium,Full caffeine,Female,,Bachelor's degree,White/Caucasian,,Student,More than 3,Republican
35-44 years old,Latte,"Whole milk, Oat milk, Half and half, Skim milk, Almond milk, Soy milk",,Chocolatey,Somewhat strong,Dark,Full caffeine,Female,,Master's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Pourover,,,Juicy,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
35-44 years old,Pourover,,,Floral,Somewhat strong,Light,Full caffeine,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Pourover,,,Juicy,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,Other (please specify),human,Employed full-time,None,No affiliation
55-64 years old,Latte,Whole milk,,Nutty,Medium,Medium,Full caffeine,Female,,Bachelor's degree,White/Caucasian,,Employed part-time,2,
25-34 years old,Pourover,Skim milk,"Artificial Sweeteners (e.g., Splenda), Honey",Fruity,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,Asian/Pacific Islander,,Student,None,Democrat
55-64 years old,Iced coffee,"Oat milk, Coffee creamer, Whole milk, Skim milk, Almond milk",,Bold,Medium,Medium,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed part-time,2,No affiliation
25-34 years old,Pourover,,,Fruity,Somewhat strong,Light,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,None,Democrat
35-44 years old,Espresso,,,Fruity,Medium,Medium,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,None,Democrat
18-24 years old,Iced coffee,,,Juicy,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Pourover,,,Bright,Somewhat strong,Light,Full caffeine,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,2,Independent
35-44 years old,Americano,,,Full Bodied,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,None,Democrat
25-34 years old,Pourover,,,Bright,Medium,Light,Full caffeine,Male,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,None,No affiliation
25-34 years old,Pourover,,,Juicy,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Cortado,,,Bright,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Independent
35-44 years old,Pourover,,,Fruity,Medium,Light,Full caffeine,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,1,Democrat
55-64 years old,Mocha,"Coffee creamer, Half and half",,Chocolatey,Medium,Medium,Full caffeine,Female,,Bachelor's degree,White/Caucasian,,Homemaker,2,Independent
18-24 years old,Regular drip coffee,,,Fruity,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
18-24 years old,Espresso,,Raw Sugar (Turbinado),Sweet,Medium,Light,Full caffeine,Non-binary,,Some college or associate's degree,Hispanic/Latino,,Student,None,No affiliation
25-34 years old,Pourover,,,Bright,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Independent
55-64 years old,Cappuccino,"Coffee creamer, Skim milk",,Bold,Medium,Medium,Full caffeine,,,,,,,,
35-44 years old,Latte,Oat milk,,Nutty,Somewhat strong,Light,Full caffeine,Female,,Master's degree,White/Caucasian,,Employed full-time,None,No affiliation
35-44 years old,Espresso,,,Full Bodied,Somewhat strong,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,No affiliation
35-44 years old,Cold brew,Half and half,,Chocolatey,Somewhat strong,Medium,Full caffeine,Female,,Bachelor's degree,White/Caucasian,,Employed part-time,None,Democrat
25-34 years old,Pourover,,,Fruity,Very strong,Light,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,None,Democrat
45-54 years old,Iced coffee,Half and half,,Caramalized,Medium,Medium,Decaf,Male,,Some college or associate's degree,White/Caucasian,,Unemployed,None,Independent
35-44 years old,Latte,Oat milk,,Full Bodied,Somewhat strong,Dark,Full caffeine,Female,,,,,,,
55-64 years old,Regular drip coffee,Whole milk,Raw Sugar (Turbinado),Fruity,Medium,Medium,Full caffeine,Female,,Bachelor's degree,Asian/Pacific Islander,,Homemaker,1,
35-44 years old,Pourover,,,Juicy,Somewhat strong,Light,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,2,Democrat
25-34 years old,Other,,,Fruity,Medium,Light,Full caffeine,Non-binary,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
35-44 years old,Americano,,,Bright,Somewhat strong,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,1,No affiliation
35-44 years old,Americano,,,Chocolatey,Somewhat strong,Dark,Full caffeine,Male,,Bachelor's degree,Hispanic/Latino,,Employed full-time,None,No affiliation
25-34 years old,Mocha,,,Chocolatey,Somewhat strong,Light,Full caffeine,Female,,Bachelor's degree,White/Caucasian,,Homemaker,None,Democrat
25-34 years old,Pourover,,,Nutty,Medium,Medium,Full caffeine,Female,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,None,
25-34 years old,Pourover,,,Fruity,Somewhat strong,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Independent
25-34 years old,Espresso,,,Juicy,Somewhat strong,Nordic,Full caffeine,Male,,Bachelor's degree,Hispanic/Latino,,Student,None,No affiliation
35-44 years old,Pourover,,,Juicy,Somewhat strong,Light,Full caffeine,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,3,Independent
25-34 years old,Regular drip coffee,,,Bold,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Pourover,,,Caramalized,Somewhat strong,Medium,Full caffeine,,,,,,,,
25-34 years old,Cappuccino,,,Juicy,Medium,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Pourover,,,Fruity,,Medium,Full caffeine,Male,,Bachelor's degree,Black/African American,,Employed full-time,None,Democrat
18-24 years old,Blended drink (e.g. Frappuccino),Flavored coffee creamer,,Full Bodied,Medium,Medium,Full caffeine,Male,,High school graduate,White/Caucasian,,Unemployed,None,Democrat
25-34 years old,Pourover,,,Fruity,Medium,Light,Full caffeine,Male,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,None,No affiliation
25-34 years old,Mocha,,Granulated Sugar,Chocolatey,Somewhat strong,Medium,Full caffeine,,,,,,,,
35-44 years old,Pourover,,,Fruity,Medium,Light,Full caffeine,Female,,Bachelor's degree,White/Caucasian,,Homemaker,2,Democrat
18-24 years old,Espresso,,,Full Bodied,Somewhat strong,Medium,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,None,Democrat
18-24 years old,Americano,,,Fruity,Very strong,Medium,Full caffeine,Male,,Doctorate or professional degree,White/Caucasian,,Student,None,Independent
45-54 years old,Regular drip coffee,,,Full Bodied,Somewhat strong,Dark,Half caff,,,,,,,,
25-34 years old,Cortado,Oat milk,,Fruity,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,None,
25-34 years old,Other,Whole milk,,Fruity,Medium,Medium,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,None,Independent
